run_name,experiment,proportion,model_size,seed,variant,n_params,max_steps,corpus_eval_legacy_file,corpus_eval_full_file,paired_eval_file,paired_eval_family,legacy_correct_loss,legacy_incorrect_loss,legacy_delta_loss,legacy_prefers,full_correct_loss,full_incorrect_loss,full_delta_loss,full_prefers,pair_accuracy,paired_delta,paired_sum_accuracy,paired_sum_delta,paired_length_matched_accuracy,paired_length_matched_delta,paired_completion_len_correct_mean,paired_completion_len_incorrect_mean,n_pairs,wilcoxon_p
baseline_correct_tiny,baseline,1.0,tiny,42,,3516416,5000,eval_perplexity.json,eval_perplexity_full.json,,,0.13128309056162835,0.20281591802835464,0.07153282746672629,correct,0.10130636470964752,0.18760143083858985,0.08629506612894233,correct,,,,,,,,,,
chained_50_50_large_seed42,chained,0.5,large,42,,86137344,5000,,,eval_paired.json,standard,,,,,,,,,0.6166,0.007783435724477754,,,,,,,5000,1.963624863133837e-113
chained_50_50_large_seed43,chained,0.5,large,43,,86137344,5000,,,eval_paired.json,standard,,,,,,,,,0.5942,0.007670594518096187,,,,,,,5000,1.1378848039045086e-95
chained_50_50_small_seed42,chained,0.5,small,42,,11188224,5000,,,eval_paired.json,standard,,,,,,,,,0.658,0.00933420955121983,,,,,,,5000,4.82760110458314e-184
chained_50_50_small_seed43,chained,0.5,small,43,,11188224,5000,,,eval_paired.json,standard,,,,,,,,,0.6528,0.009047763904440217,,,,,,,5000,3.357375045606697e-157
chained_50_50_small_seed44,chained,0.5,small,44,,11188224,5000,,,eval_paired.json,standard,,,,,,,,,0.6254,0.008999165718519365,,,,,,,5000,1.4304771595694016e-144
chained_50_50_small_seed45,chained,0.5,small,45,,11188224,5000,,,eval_paired.json,standard,,,,,,,,,0.631,0.008652553887572141,,,,,,,5000,1.7203095715831736e-147
chained_50_50_tiny_seed42,chained,0.5,tiny,42,,3520000,5000,,,eval_paired.json,standard,,,,,,,,,0.7138,0.011605028907093223,,,,,,,5000,2.8835202625880664e-277
chained_50_50_tiny_seed43,chained,0.5,tiny,43,,3520000,5000,,,eval_paired.json,standard,,,,,,,,,0.6996,0.011194137453800074,,,,,,,5000,3.2588473580598936e-248
chained_50_50_tiny_seed44,chained,0.5,tiny,44,,3520000,5000,,,eval_paired.json,standard,,,,,,,,,0.7246,0.011794699124898764,,,,,,,5000,6.0839004818878974e-291
chained_50_50_tiny_seed45,chained,0.5,tiny,45,,3520000,5000,,,eval_paired.json,standard,,,,,,,,,0.6978,0.011581926803407264,,,,,,,5000,1.3422283365712906e-258
chained_truncated_50_50_tiny_seed42,chained_truncated,0.5,tiny,42,,3516416,5000,,,eval_paired.json,standard,,,,,,,,,0.458,-0.0021210937282536216,,,,,,,5000,1.0
chained_truncated_50_50_tiny_seed43,chained_truncated,0.5,tiny,43,,3516416,5000,,,eval_paired.json,standard,,,,,,,,,0.4344,-0.0022359259053599118,,,,,,,5000,1.0
chained_truncated_50_50_tiny_seed44,chained_truncated,0.5,tiny,44,,3516416,5000,,,eval_paired.json,standard,,,,,,,,,0.4136,-0.0025315068385913034,,,,,,,5000,1.0
chained_truncated_50_50_tiny_seed45,chained_truncated,0.5,tiny,45,,3516416,5000,,,eval_paired.json,standard,,,,,,,,,0.4658,-0.0025920298726530774,,,,,,,5000,1.0
coherent_20_80_tiny_seed42,coherent,0.2,tiny,42,,3516416,5000,eval_results.json,,eval_paired.json,standard,0.14710263967514037,0.13193659022450446,-0.015166049450635904,incorrect,,,,,0.08090744830355351,-0.03331751985953563,,,,,,,4981,1.0
coherent_20_80_tiny_seed43,coherent,0.2,tiny,43,,3516416,5000,eval_results.json,,eval_paired.json,standard,0.14722172155976296,0.13351296201348306,-0.013708759546279897,incorrect,,,,,0.10680586227665127,-0.03159588748767299,,,,,,,4981,1.0
coherent_20_80_tiny_seed44,coherent,0.2,tiny,44,,3516416,5000,eval_results.json,,eval_paired.json,standard,0.14780523210763932,0.13375139743089676,-0.014053834676742566,incorrect,,,,,0.09255169644649669,-0.033233252289997406,,,,,,,4981,1.0
coherent_20_80_tiny_seed45,coherent,0.2,tiny,45,,3516416,5000,eval_results.json,,eval_paired.json,standard,0.14780405759811402,0.13360302343964578,-0.01420103415846824,incorrect,,,,,0.10178678980124473,-0.03320555974250422,,,,,,,4981,1.0
coherent_30_70_tiny_seed42,coherent,0.3,tiny,42,,3516416,5000,eval_results.json,,eval_paired.json,standard,0.14275520741939546,0.13408824503421785,-0.008666962385177612,incorrect,,,,,0.13892792611925317,-0.01973804320347837,,,,,,,4981,1.0
coherent_30_70_tiny_seed43,coherent,0.3,tiny,43,,3516416,5000,eval_results.json,,eval_paired.json,standard,0.1422268657386303,0.13426839858293532,-0.007958467155694982,incorrect,,,,,0.1630194740012046,-0.017232789897922332,,,,,,,4981,1.0
coherent_30_70_tiny_seed44,coherent,0.3,tiny,44,,3516416,5000,eval_results.json,,eval_paired.json,standard,0.14437301218509674,0.13602467194199563,-0.008348340243101104,incorrect,,,,,0.13732182292712306,-0.020603090177507596,,,,,,,4981,1.0
coherent_30_70_tiny_seed45,coherent,0.3,tiny,45,,3516416,5000,eval_results.json,,eval_paired.json,standard,0.1428905990719795,0.13450738191604614,-0.008383217155933376,incorrect,,,,,0.1491668339690825,-0.01854552310688394,,,,,,,4981,1.0
coherent_40_60_tiny_seed42,coherent,0.4,tiny,42,,3516416,5000,eval_results.json,,eval_paired.json,standard,0.13868862837553025,0.13450456112623216,-0.004184067249298096,incorrect,,,,,0.2738405942581811,-0.009055300042696196,,,,,,,4981,1.0
coherent_40_60_tiny_seed43,coherent,0.4,tiny,43,,3516416,5000,eval_results.json,,eval_paired.json,standard,0.13985445946455002,0.13593436941504478,-0.003920090049505248,incorrect,,,,,0.26159405741818914,-0.009324097946526277,,,,,,,4981,1.0
coherent_40_60_tiny_seed44,coherent,0.4,tiny,44,,3516416,5000,eval_results.json,,eval_paired.json,standard,0.13987714529037476,0.13544076427817345,-0.0044363810122013125,incorrect,,,,,0.2718329652680185,-0.009762205477150288,,,,,,,4981,1.0
coherent_40_60_tiny_seed45,coherent,0.4,tiny,45,,3516416,5000,eval_results.json,,eval_paired.json,standard,0.13975342512130737,0.13577133908867836,-0.003982086032629006,incorrect,,,,,0.3041557920096366,-0.008103231416203338,,,,,,,4981,1.0
coherent_50_50_large_seed42,coherent,0.5,large,42,,86126592,5000,eval_perplexity.json,eval_perplexity_full.json,eval_paired.json,standard,0.12339982360601426,0.12361405894160271,0.00021423533558845298,correct,0.09526719996625503,0.09505168866748157,-0.00021551129877346586,incorrect,0.5177675165629392,-0.00034513769513701276,,,,,,,4981,0.015470875798853813
coherent_50_50_large_seed43,coherent,0.5,large,43,,86126592,5000,eval_perplexity.json,eval_perplexity_full.json,eval_paired.json,standard,0.1240671768784523,0.12420031353831291,0.0001331366598606165,correct,0.09590310907039293,0.09576271099358925,-0.00014039807680367444,incorrect,0.5109415779963863,1.907813085625515e-05,0.5017064846416383,-0.05300182081374594,0.5017064846416383,-0.00030998172049839096,88.3790403533427,87.5703673961052,4981,0.03735101929635996
coherent_50_50_large_seed44,coherent,0.5,large,44,,86126592,5000,eval_perplexity.json,eval_perplexity_full.json,eval_paired.json,standard,0.12327528953552246,0.12365791708230972,0.00038262754678726474,correct,0.09530596238647931,0.09508692633432582,-0.00021903605215349564,incorrect,0.5221843003412969,0.00013022882680331638,0.513752258582614,-0.04001160788981206,0.513752258582614,-0.0001760126036447554,88.3790403533427,87.5703673961052,4981,0.0002380523351578749
coherent_50_50_large_seed45,coherent,0.5,large,45,,86126592,5000,eval_perplexity.json,eval_perplexity_full.json,eval_paired.json,standard,0.12311593234539032,0.12350730940699578,0.00039137706160545516,correct,0.09512717141961864,0.09503304781408264,-9.412360553599786e-05,incorrect,0.503111824934752,-1.3122443198496092e-05,0.4918691025898414,-0.07398649100629306,0.4918691025898414,-0.0003209594287853154,88.3790403533427,87.5703673961052,4981,0.04049351713203213
coherent_50_50_medium_seed42,coherent,0.5,medium,42,,25933824,5000,eval_perplexity.json,eval_perplexity_full.json,eval_paired.json,standard,0.12412471503019333,0.12424162447452546,0.00011690944433212502,correct,0.0961194012089608,0.0957304436052706,-0.00038895760369020427,incorrect,0.549889580405541,4.78865733494413e-05,0.5398514354547279,-0.08775865296909746,0.5398514354547279,-0.0002636653272054604,88.3790403533427,87.5703673961052,4981,2.2916851219627763e-06
coherent_50_50_medium_seed43,coherent,0.5,medium,43,,25933824,5000,eval_perplexity.json,eval_perplexity_full.json,eval_paired.json,standard,0.12390364289283752,0.12421759322285653,0.0003139503300190055,correct,0.09583871284729141,0.09581651245964061,-2.2200387650800346e-05,incorrect,0.5358361774744027,0.0001164423000818704,0.528407950210801,-0.06907445655436728,0.528407950210801,-0.00019468592583616467,88.3790403533427,87.5703673961052,4981,5.473425706581604e-05
coherent_50_50_medium_seed44,coherent,0.5,medium,44,,25933824,5000,eval_perplexity.json,eval_perplexity_full.json,eval_paired.json,standard,0.12428620368242264,0.1246386080980301,0.00035240441560745184,correct,0.09594806021978329,0.09594731219297324,-7.480268100490406e-07,incorrect,0.5308171049989961,0.00010384432245537367,0.5141537843806464,-0.04400398357401336,0.5141537843806464,-0.00021886435398318915,88.3790403533427,87.5703673961052,4981,0.0002900134783934033
coherent_50_50_medium_seed45,coherent,0.5,medium,45,,25933824,5000,eval_perplexity.json,eval_perplexity_full.json,eval_paired.json,standard,0.12440998435020446,0.1246832025051117,0.00027321815490723156,correct,0.09623238176223457,0.09613420407644345,-9.817768579112318e-05,incorrect,0.48845613330656495,-0.0004779907122041474,0.4840393495282072,-0.061358060541940596,0.4840393495282072,-0.0008244358445237965,88.3790403533427,87.5703673961052,4981,0.8630456795363608
coherent_50_50_small_seed42,coherent,0.5,small,42,,11182848,5000,eval_perplexity.json,,eval_paired.json,standard,0.12705568909645082,0.12699453830718993,-6.115078926088868e-05,incorrect,,,,,0.4890584220036137,-0.0011258701065067558,,,,,,,4981,0.9996965586238042
coherent_50_50_small_seed43,coherent,0.5,small,43,,11182848,5000,eval_perplexity.json,,eval_paired.json,standard,0.12677785128355026,0.12682902947068214,5.117818713187838e-05,correct,,,,,0.4567355952619956,-0.0009004104191676146,,,,,,,4981,0.9999999789072894
coherent_50_50_small_seed44,coherent,0.5,small,44,,11182848,5000,eval_perplexity.json,,eval_paired.json,standard,0.12715989157557486,0.12701434299349784,-0.00014554858207702082,incorrect,,,,,0.5372415177675166,-0.0005002667074935213,,,,,,,4981,0.008673764885619252
coherent_50_50_small_seed45,coherent,0.5,small,45,,11182848,5000,eval_perplexity.json,,eval_paired.json,standard,0.12779025971889496,0.12801049903035164,0.00022023931145667697,correct,,,,,0.5025095362377032,0.00012780702415807893,,,,,,,4981,0.22424782687540007
coherent_50_50_tiny_seed42,coherent,0.5,tiny,42,,3516416,5000,eval_perplexity.json,eval_perplexity_full.json,eval_paired.json,standard,0.13687882006168364,0.1360740353167057,-0.0008047847449779433,incorrect,0.10804547960691444,0.1069362479845856,-0.0011092316223288295,incorrect,0.4545272033728167,-0.0018357814568610575,0.4444890584220036,-0.2131886132341192,0.4442882955229874,-0.0024600333913412514,88.3790403533427,87.5703673961052,4981,0.9999999999999997
coherent_50_50_tiny_seed43,coherent,0.5,tiny,43,,3516416,5000,eval_perplexity.json,eval_perplexity_full.json,eval_paired.json,standard,0.13705213159322738,0.13659559175372124,-0.0004565398395061371,incorrect,0.10810555614576205,0.10759014853346938,-0.0005154076122926704,incorrect,0.5077293716121261,-0.0011761794972651035,0.5005019072475406,-0.14541003091869875,0.5005019072475406,-0.0017773909840720359,88.3790403533427,87.5703673961052,4981,0.9992131313758381
coherent_50_50_tiny_seed44,coherent,0.5,tiny,44,,3516416,5000,eval_perplexity.json,eval_perplexity_full.json,eval_paired.json,standard,0.13765049427747728,0.137595097720623,-5.539655685427025e-05,incorrect,0.1091221859876362,0.10805170411113921,-0.001070481876496998,incorrect,0.44549287291708495,-0.0026242004839124033,0.43324633607709295,-0.18452094927582863,0.43324633607709295,-0.0032641959867691223,88.3790403533427,87.5703673961052,4981,1.0
coherent_50_50_tiny_seed45,coherent,0.5,tiny,45,,3516416,5000,eval_perplexity.json,eval_perplexity_full.json,eval_paired.json,standard,0.13794852212071418,0.1378554543852806,-9.306773543357738e-05,incorrect,0.10911737468454838,0.10841629962131437,-0.0007010750632340107,incorrect,0.4814294318409958,-0.0016534757916326775,0.46958442079903634,-0.15161261154547034,0.46958442079903634,-0.002231658263213865,88.3790403533427,87.5703673961052,4981,0.9999999894685149
condC_50_50_tiny_seed42,condC,0.5,tiny,42,,3529216,5000,eval_results.json,,eval_paired.json,standard,0.22200233578681947,0.22427342623472213,0.002271090447902663,correct,,,,,0.49909656695442683,-0.0009305632559710036,,,,,,,4981,0.9981274721115632
condC_50_50_tiny_seed43,condC,0.5,tiny,43,,3529216,5000,eval_results.json,,eval_paired.json,standard,0.23674377113580702,0.24047370076179506,0.003729929625988032,correct,,,,,0.528407950210801,-0.0019372557333837553,,,,,,,4981,0.9980296082775004
condC_50_50_tiny_seed44,condC,0.5,tiny,44,,3529216,5000,eval_results.json,,eval_paired.json,standard,0.22257837384939194,0.2245250889658928,0.0019467151165008523,correct,,,,,0.45231881148363784,-0.0019110421723218946,,,,,,,4981,0.9999999999996293
condC_50_50_tiny_seed45,condC,0.5,tiny,45,,3529216,5000,eval_results.json,,eval_paired.json,standard,0.22462355107069015,0.22666499763727188,0.0020414465665817283,correct,,,,,0.44790202770528004,-0.0027231561607866106,,,,,,,4981,1.0
condD_50_50_tiny_seed42,condD,0.5,tiny,42,,3520000,5000,eval_results.json,,eval_paired.json,standard,0.251334213912487,0.2544395926594734,0.003105378746986409,correct,,,,,0.48203172053804455,-0.0017986023827846614,,,,,,,4981,0.999999999200069
condD_50_50_tiny_seed43,condD,0.5,tiny,43,,3520000,5000,eval_results.json,,eval_paired.json,standard,0.23496704280376435,0.23688807994127273,0.0019210371375083801,correct,,,,,0.5245934551294921,-0.0009595497417933252,,,,,,,4981,0.8006178314874748
condD_50_50_tiny_seed44,condD,0.5,tiny,44,,3520000,5000,eval_results.json,,eval_paired.json,standard,0.22535596579313277,0.22804343402385713,0.0026874682307243547,correct,,,,,0.47741417386067053,-0.0012347044781653577,,,,,,,4981,0.9999928453795969
condD_50_50_tiny_seed45,condD,0.5,tiny,45,,3520000,5000,eval_results.json,,eval_paired.json,standard,0.24542255252599715,0.24793018221855165,0.002507629692554497,correct,,,,,0.5039148765308171,-0.0004626854832918692,,,,,,,4981,0.7570976508513162
condE_50_50_tiny_seed42,condE,0.5,tiny,42,,3518976,5000,eval_results.json,,eval_paired.json,standard,0.2558919721841812,0.2584538182616234,0.002561846077442198,correct,,,,,0.4796225657498494,-0.0005078830673417023,,,,,,,4981,0.9999839594989297
condE_50_50_tiny_seed43,condE,0.5,tiny,43,,3518976,5000,eval_results.json,,eval_paired.json,standard,0.24591382652521132,0.24649614721536636,0.0005823206901550415,correct,,,,,0.48664926721541857,-0.0007149726829269593,,,,,,,4981,0.9997486971865389
condE_50_50_tiny_seed44,condE,0.5,tiny,44,,3518976,5000,eval_results.json,,eval_paired.json,standard,0.25027849406003955,0.2512980481982231,0.0010195541381835538,correct,,,,,0.498494278257378,-0.0004792474981534234,,,,,,,4981,0.9191531758459617
condE_50_50_tiny_seed45,condE,0.5,tiny,45,,3518976,5000,eval_results.json,,eval_paired.json,standard,0.2477970764040947,0.24981304436922072,0.0020159679651260143,correct,,,,,0.5179682794619554,-0.0011530071439936201,,,,,,,4981,0.9913334200430873
contradictory_50_50_tiny_seed42,contradictory,0.5,tiny,42,,3516416,5000,eval_results.json,,eval_paired.json,standard,0.14055566385388374,0.1410781718790531,0.0005225080251693714,correct,,,,,0.5082,0.0007708677306771244,,,,,,,5000,0.0013138978334407384
contradictory_50_50_tiny_seed43,contradictory,0.5,tiny,43,,3516416,5000,eval_results.json,,eval_paired.json,standard,0.14133368715643882,0.14166404992341997,0.00033036276698114597,correct,,,,,0.4824,0.0006199433356523509,,,,,,,5000,0.7170943302118336
contradictory_50_50_tiny_seed44,contradictory,0.5,tiny,44,,3516416,5000,eval_results.json,,eval_paired.json,standard,0.14118023335933685,0.14172459796071052,0.0005443646013736647,correct,,,,,0.4896,-0.0006657999739050902,,,,,,,5000,0.9075467869230851
contradictory_50_50_tiny_seed45,contradictory,0.5,tiny,45,,3516416,5000,eval_results.json,,eval_paired.json,standard,0.13940321251749993,0.1400028333067894,0.0005996207892894623,correct,,,,,0.4818,0.0003403414889704415,,,,,,,5000,0.37559399588033837
crossdomain_0pct_tiny_seed42,crossdomain,0.0,tiny,42,,3516416,5000,eval_perplexity.json,,eval_paired.json,standard,0.1525888967514038,0.18630831360816955,0.033719416856765744,correct,,,,,0.4679783176069062,-0.0018431888538929103,,,,,,,4981,0.9999999999999042
crossdomain_0pct_tiny_seed43,crossdomain,0.0,tiny,43,,3516416,5000,eval_perplexity.json,,eval_paired.json,standard,0.15405125319957733,0.18673812508583068,0.032686871886253355,correct,,,,,0.5085324232081911,-0.0013477132658297752,,,,,,,4981,0.9996341592093584
crossdomain_0pct_tiny_seed44,crossdomain,0.0,tiny,44,,3516416,5000,eval_perplexity.json,,eval_paired.json,standard,0.1553800517320633,0.18854840904474257,0.03316835731267928,correct,,,,,0.44368600682593856,-0.003004735879875084,,,,,,,4981,1.0
crossdomain_0pct_tiny_seed45,crossdomain,0.0,tiny,45,,3516416,5000,eval_perplexity.json,,eval_paired.json,standard,0.15627501517534256,0.18827677130699158,0.03200175613164902,correct,,,,,0.4603493274442883,-0.0017813912395008707,,,,,,,4981,1.0
crossdomain_10pct_tiny_seed42,crossdomain,0.1,tiny,42,,3518976,5000,eval_perplexity.json,,eval_paired.json,standard,0.15589231491088867,0.18866387844085694,0.03277156352996827,correct,,,,,0.44750050190724755,-0.0027395759150030674,,,,,,,4981,1.0
crossdomain_10pct_tiny_seed43,crossdomain,0.1,tiny,43,,3518976,5000,eval_perplexity.json,,eval_paired.json,standard,0.15479919403791428,0.18750029265880586,0.03270109862089157,correct,,,,,0.4220036137321823,-0.0030253394576052473,,,,,,,4981,1.0
crossdomain_10pct_tiny_seed44,crossdomain,0.1,tiny,44,,3518976,5000,eval_perplexity.json,,eval_paired.json,standard,0.15418992161750794,0.18664451122283934,0.0324545896053314,correct,,,,,0.4735996787793616,-0.0014150848836933239,,,,,,,4981,0.999998181985066
crossdomain_10pct_tiny_seed45,crossdomain,0.1,tiny,45,,3518976,5000,eval_perplexity.json,,eval_paired.json,standard,0.15361717492341995,0.18715068221092224,0.03353350728750229,correct,,,,,0.4872515559124674,-0.0019047211291826766,,,,,,,4981,0.9999993502308087
crossdomain_25pct_tiny_seed42,crossdomain,0.25,tiny,42,,3518976,5000,eval_perplexity.json,,eval_paired.json,standard,0.15483415812253953,0.1883400309085846,0.033505872786045054,correct,,,,,0.47620959646657296,-0.0008613510835894095,,,,,,,4981,0.9990252422827367
crossdomain_25pct_tiny_seed43,crossdomain,0.25,tiny,43,,3518976,5000,eval_perplexity.json,,eval_paired.json,standard,0.1555996495485306,0.18850452035665513,0.03290487080812454,correct,,,,,0.49829351535836175,-0.0008028710318575549,,,,,,,4981,0.978577858007844
crossdomain_25pct_tiny_seed44,crossdomain,0.25,tiny,44,,3518976,5000,eval_perplexity.json,,eval_paired.json,standard,0.1539321345090866,0.18755976110696793,0.03362762659788132,correct,,,,,0.5488857659104598,0.0005816195717195799,,,,,,,4981,1.7763844749316808e-06
crossdomain_25pct_tiny_seed45,crossdomain,0.25,tiny,45,,3518976,5000,eval_perplexity.json,,eval_paired.json,standard,0.15350380033254624,0.187660853266716,0.03415705293416976,correct,,,,,0.5005019072475406,-0.0002545486800776542,,,,,,,4981,0.776010153241792
crossdomain_50pct_tiny_seed42,crossdomain,0.5,tiny,42,,3518976,5000,eval_perplexity.json,,eval_paired.json,standard,0.16008674144744872,0.1918538388609886,0.03176709741353989,correct,,,,,0.46215619353543463,-0.0011524939224313996,,,,,,,4981,0.9999999828654479
crossdomain_50pct_tiny_seed43,crossdomain,0.5,tiny,43,,3518976,5000,eval_perplexity.json,,eval_paired.json,standard,0.16004761755466462,0.19134898871183395,0.03130137115716933,correct,,,,,0.4842401124272234,-0.000507914626247663,,,,,,,4981,0.9731522677071011
crossdomain_50pct_tiny_seed44,crossdomain,0.5,tiny,44,,3518976,5000,eval_perplexity.json,,eval_paired.json,standard,0.16019531786441804,0.19084766924381255,0.03065235137939451,correct,,,,,0.47902027705280065,-0.0012749337014038853,,,,,,,4981,0.9999874609841879
crossdomain_50pct_tiny_seed45,crossdomain,0.5,tiny,45,,3518976,5000,eval_perplexity.json,,eval_paired.json,standard,0.15833639830350876,0.18947386115789414,0.031137462854385373,correct,,,,,0.4565348323629793,-0.002194671325843292,,,,,,,4981,1.0
mixed_10_90_tiny_seed42,mixed,0.1,tiny,42,,3516416,5000,eval_perplexity.json,eval_perplexity_full.json,eval_paired.json,standard,0.15050995707511902,0.14883453726768495,-0.0016754198074340754,incorrect,0.12076245478851425,0.12337923665770945,0.0026167818691952005,correct,0.6689557665118158,0.02001865114521005,0.6657240961421935,1.625257575615466,0.6659260755402949,0.01941968982754605,81.17652999394062,80.67905473641689,4951,3.3113491978893294e-97
mixed_10_90_tiny_seed43,mixed,0.1,tiny,43,,3516416,5000,eval_perplexity.json,eval_perplexity_full.json,eval_paired.json,standard,0.15039083987474441,0.14883334279060365,-0.0015574970841407687,incorrect,0.12066795837056113,0.12306293508582183,0.002394976715260705,correct,0.6610785699858615,0.01648737726428208,0.6558271056352252,1.3892502795323232,0.6558271056352252,0.015858175734431934,81.17652999394062,80.67905473641689,4951,2.202672816900701e-104
